ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	[Enformer] Effective gene expression prediction from sequence by integrating long-range interactions	Avsec	2021	Nature Methods	avsec_enformer_2021	INCLUDE	2	2	OK	M	+	Ch07 (genomic sequence modeling)	
2	2025-12-22	Placeholder: choromanski rethinking 2021		2021		choromanski_rethinking_2021	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
3	2025-12-22	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Dalla-Torre	2023	Nature Methods	dalla-torre_nucleotide_2023	INCLUDE	2	2	OK	M	+	Ch07 (genomic sequence modeling)	
4	2025-12-22	Placeholder: dao flashattention 2022		2022		dao_flashattention_2022	CITED	2	1	OK	L	?	Ch07 (methods background)	No DOI/URL in BibTeX
5	2025-12-22	Placeholder: gu efficiently 2022		2022		gu_efficiently_2022	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
6	2025-12-22	Placeholder: gu mamba 2024		2024		gu_mamba_2024	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
7	2025-12-22	DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Ji	2021	Bioinformatics	ji_dnabert_2021	INCLUDE	2	2	OK	M	+	Ch07 (genomic sequence modeling)	
8	2025-12-22	Placeholder: kaplan scaling 2020		2020		kaplan_scaling_2020	CITED	2	1	OK	L	+	Ch07 (methods background)	No DOI/URL in BibTeX
9	2025-12-22	Placeholder: loshchilov decoupled 2019		2019		loshchilov_decoupled_2019	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
10	2025-12-22	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Nguyen	2023		nguyen_hyenadna_2023	INCLUDE	2	2	OK	H	+	Ch07 (genomic sequence modeling)	NeurIPS 2023 (same title).
11	2025-12-22	Placeholder: poli hyena 2023		2023		poli_hyena_2023	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
12	2025-12-22	Placeholder: press train 2022		2022		press_train_2022	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
13	2025-12-22	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	Raffel	2019		raffel_t5_2019	CITED	2	1	OK	L	+	Ch07 (methods background)	JMLR (2020).
14	2025-12-22	Placeholder: su roformer 2024		2024		su_roformer_2024	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
15	2025-12-22	Attention Is All You Need	Vaswani	2017		vaswani_attention_2017	CITED	2	1	OK	L	+	Ch07 (methods background)	NeurIPS (2017).
16	2025-12-22	Placeholder: wang linformer 2020		2020		wang_linformer_2020	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
17	2025-12-22	Placeholder: xiong layer 2020		2020		xiong_layer_2020	CITED	1	1	OK	M	?	Ch07	No DOI/URL in BibTeX
18	2025-12-22	GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics	Zvyagin	2022		zvyagin_genslms_2022	INCLUDE	2	2	OK	M	+	Ch07 (genomic sequence modeling)	Preprint (bioRxiv 2022); no clear journal/conference version found.
